source,review_id,user_name,review_description,rating,thumbs_up,review_version,review_date,developer_response,developer_response_date,language_code,country_code
Google Play,759e4e23-0cd6-4ca9-9a6a-90819d833dc1,Patricia Christian,I really like the ease of finding pics,5,0,2.18.0.486.0-aosp-902085801g,2024-05-17 17:01:21,,,en,us
Google Play,11a361df-c2ba-40d6-ab11-cd3ba9867d8e,Liz Smith,Love this...if something goes wrong with my phone I still have my photos,5,0,,2024-05-17 15:42:08,,,en,us
Google Play,6bcf2473-352c-4517-b8ab-60347827a150,Melissa Curtis,Love having pics quickly,5,0,2.17.1.1.0-aosp-902084621g,2024-05-17 15:20:25,,,en,us
Google Play,35a91548-8f9e-4c57-b720-87eb127abcd6,Louis Troutman,Excellent,5,0,2.18.0.486.0-aosp-902085801g,2024-05-17 15:15:12,,,en,us
Google Play,1a347d5b-451f-49c7-b331-eb854c07d5a8,Bob Ashworth,Excellent search capabilities.,5,0,2.18.0.486.0-aosp-902085801g,2024-05-17 15:08:41,,,en,us
Google Play,a11603d7-778d-4604-8da6-7240ce84085f,Rinaldo Wouterson,"Doesn't let you import from Google Photos, worthless if you want to switch around...",1,0,2.18.0.486.0-aosp-902085801g,2024-05-17 13:48:53,,,en,us
Google Play,d3ec92fd-b4a3-4ef5-9b71-1bf27da60739,Ham Saffar,Free and unlimited Hi Res cloud storage for your all your pictures... What more can I ask for. One of the many useful benefits of the prime membership.,5,0,2.18.0.486.0-aosp-902085801g,2024-05-17 13:44:43,,,en,us
Google Play,9ba59636-f3b0-495d-80e3-552b19bdb147,Amanda Gamble,Easy to use and store photos,5,0,2.18.0.486.0-aosp-902085801g,2024-05-17 13:30:48,,,en,us
Google Play,6dae6b04-9090-4129-a755-30cfd19c1f24,Maria Farneschi,Nice to look back in time.,5,0,2.11.0.357.0-aosp-902051651g,2024-05-17 11:36:50,,,en,us
Google Play,f78b1148-c74f-4277-b411-0c51d737266b,Harry Miller,Good but I'm still learning how to use it,4,0,2.18.0.486.0-aosp-902085801g,2024-05-17 11:25:08,,,en,us
Google Play,022a530a-18fc-48cc-aa12-06bf0610184b,Tony Penson,I'm able to save my photos for a long long time !!! Thanks,5,0,2.18.0.486.0-aosp-902085801g,2024-05-17 11:14:46,,,en,us
Google Play,c5feb445-625b-48b4-847c-0a0ac7eaef65,Danny,So far so good Happy,5,0,2.18.0.486.0-aosp-902085801g,2024-05-17 10:27:44,,,en,us
Google Play,2466b32c-093b-4dfc-9714-a4a9d785b68c,Mandy Creighton,Great just love this app,5,0,2.18.0.486.0-aosp-902085801g,2024-05-17 10:14:20,,,en,us
Google Play,c69a9085-a90d-4d02-93d0-90507a99f9bb,francis foley,Easy to use,5,0,2.18.0.486.0-aosp-902085801g,2024-05-17 09:24:12,,,en,us
Google Play,9ef2125c-44cd-4266-82d3-6fb8318ab8e2,Gene Kost,Clarity and timestamps great,5,0,2.18.0.486.0-aosp-902085801g,2024-05-17 09:15:07,,,en,us
Google Play,79d6218b-8f48-48f4-b68c-c723a7a7eeca,Jay Bee,"Corruption at Nevada VA hospitals! I believe that justin is using Burp Suit, Frida, ADB Shell, Javascript, google Firebase, and/or AndroGoat for stalking, harassment, identity theft, and cyber crimes. I viewed some information about SSL/TLS Bypass and I am experincing the same problems. VR&E is supposed to help disabled veterans get training to obtain suitable employment. They aren't supposed to allow racist corrupt employees to abuse them by doing identity fraud or illegal cyber Maybe internati",1,0,,2024-05-17 07:49:49,,,en,us
Google Play,9005e05d-c09f-4cb0-97f6-369ef1b25a4b,Sabrina Samson,"I don't need 10 or so seconds of ""photo deleted"" at the bottom of the screen. I'm trying to delete a bunch of photos individually as I need to look at them first. It's going to take forever with that message at the bottom that's hard to get rid of.",3,0,2.18.0.486.0-aosp-902085801g,2024-05-17 07:34:57,,,en,us
Google Play,c3bd641f-6a34-4f19-956c-5b7aeb902a9b,Kyra Jones,Excellent and very useful,5,0,2.18.0.486.0-aosp-902085801g,2024-05-17 07:01:41,,,en,us
Google Play,dbad7e2b-c4bb-4e94-846e-1416f5985a51,Jay Ainsworth,"The only way to store, view, retrieve, organize or print pictures with ease.",5,0,,2024-05-17 05:59:47,,,en,us
Google Play,8503a740-4385-4370-801a-3129ef2aeeb5,Jamie Nelson,Tho smgood app to store pictures,5,0,2.18.0.486.0-aosp-902085801g,2024-05-17 05:29:27,,,en,us
Google Play,382d4005-3113-4b8e-88a1-46562e46e990,Catherine Burrell,Easy to use and love the storage.,4,0,2.18.0.486.0-aosp-902085801g,2024-05-17 05:26:11,,,en,us
Google Play,ab795fcc-62ee-404e-bdc4-fa58fde461bc,Elaine Lawes,"I just love taking photos, and you are looking after them 😍",5,0,2.16.0.574.0-aosp-902077651g,2024-05-17 04:10:45,,,en,us
Google Play,e74cc29b-e78e-4af0-bb27-bbfd8f2500b2,sarah harkness,I love Amazon Prime this is a nice free feature it uploads all of my pictures fast and is easy to retrieve them delete them etc. I use this app daily...great job Amazon I love it!,5,0,2.18.0.486.0-aosp-902085801g,2024-05-17 03:54:58,,,en,us
Google Play,711c4e00-8ecc-4b27-8868-a3b0e75e5d75,Mike Fackrell,Easy to use,5,0,2.18.0.486.0-aosp-902085801g,2024-05-17 03:40:28,,,en,us
Google Play,20b2fc29-95d5-4190-9fca-406611af0808,Nathan Alan,"Uploading photos to the cloud is automatic and typically fast. Sometimes I am in the dark about when my input is needed, when my help is needed, and if so how much for how long? I want to help, just what specifically do you need my help with?",4,0,2.18.0.486.0-aosp-902085801g,2024-05-17 03:27:49,,,en,us
Google Play,c9b0d017-14db-4612-a49f-edfb1f1130cb,Kara Shaw,"Love this app, love that is free with Prime",5,0,,2024-05-17 03:23:54,,,en,us
Google Play,b4d107f4-b698-4887-82b1-34921c991e9f,Sandi Dyer,this is cheaper and works great,5,0,2.18.0.486.0-aosp-902085801g,2024-05-17 03:13:10,,,en,us
Google Play,e0b2c88f-30cc-444e-a0a0-b8320e759636,inerit,Fast updates,4,0,2.18.0.486.0-aosp-902085801g,2024-05-17 02:18:43,,,en,us
Google Play,42d60fb7-e149-4494-b945-e2c81146521f,Kelly Smith,Great fast and fun,5,0,2.18.0.486.0-aosp-902085801g,2024-05-17 02:07:08,,,en,us
Google Play,98991c7f-42b7-4f45-ba82-3abf919dd04a,Tiira Vall,Photo storage is great!! Wish I had more video storage,4,0,2.18.0.486.0-aosp-902085801g,2024-05-17 01:56:25,,,en,us
Google Play,b62a2054-6465-4809-84dc-baca156f5fff,Kim Secker,Easy too use,5,0,2.18.0.486.0-aosp-902085801g,2024-05-17 00:08:16,,,en,us
Google Play,39c12c17-59cd-4ba6-b66b-3e28d9cb8f14,Denise James,This is a convenience for me. Thank you,5,0,2.18.0.486.0-aosp-902085801g,2024-05-17 00:07:24,,,en,us
Google Play,bc63a83f-ff0c-4735-a5f7-63fbbb88d422,A Google user,The backup to my pics is wonderful. No more worries.,5,0,2.17.1.1.0-aosp-902084621g,2024-05-16 23:56:12,,,en,us
Google Play,86a3ecc9-472a-4f68-9ddf-b5f5c7b4b20b,Jennifer Watson,Easy to use,5,0,2.18.0.486.0-aosp-902085801g,2024-05-16 23:33:23,,,en,us
Google Play,e5aca5b2-9bee-439c-b672-4f6d771a46f1,Ouida Norris,I love the reminder of photos done that day in the past. Pretty easy to use love the lay out,5,0,2.18.0.486.0-aosp-902085801g,2024-05-16 23:28:43,,,en,us
Google Play,e9c5c7f7-dee8-41e1-b6db-ea9617ec9cf4,Maarten Schoonheim,Super deal for backup of pics,5,0,2.18.0.486.0-aosp-902085801g,2024-05-16 23:15:56,,,en,us
Google Play,b6c2eb54-2c15-4d73-a753-527d0e1e7a7a,Pamela Morton,Been using this awhile and love the app,5,0,2.18.0.486.0-aosp-902085801g,2024-05-16 22:56:01,,,en,us
Google Play,103b4aec-7c8d-462a-b834-63efd0a6bb8e,Jody,A great way to store my pictures.,5,0,2.18.0.486.0-aosp-902085801g,2024-05-16 22:54:20,,,en,us
Google Play,a959bdd9-d5a3-44be-a756-f3882a4d7bbe,Nancy Ohmann,I want to cancel this service!,1,0,1.44.0-77239011g,2024-05-16 22:46:33,,,en,us
Google Play,b351bc78-f5ca-4a0a-8459-74329ed9e04a,Will Calhoun,Good stuff!,5,0,2.18.0.486.0-aosp-902085801g,2024-05-16 22:09:14,,,en,us
Google Play,cab3c7ee-da33-44bd-8b63-0f4f29a63a4c,Steve R,Constantly turning on auto-save for folders I have specified not to. Ridiculous to have a recurring issue with something so basic.,3,0,2.18.0.486.0-aosp-902085801g,2024-05-16 21:49:54,,,en,us
Google Play,6d2d7180-c841-4944-af39-b6b19218dacf,Jorge Ortiz,Excellent,5,0,2.18.0.486.0-aosp-902085801g,2024-05-16 21:37:44,,,en,us
Google Play,9386f8c1-654a-4db1-8374-52545fe07ad2,Cathy Minor,Easy and works great,5,0,2.18.0.486.0-aosp-902085801g,2024-05-16 21:28:19,,,en,us
Google Play,02fa44f4-85a0-484e-8bfb-710a8f94305e,Don Foley,Great!,5,0,2.18.0.486.0-aosp-902085801g,2024-05-16 21:25:31,,,en,us
Google Play,f6801f06-413a-415f-ba5b-c3f7fe4ed6f8,barbara bedell,Fun looking at memories,5,0,2.18.0.486.0-aosp-902085801g,2024-05-16 21:14:44,,,en,us
Google Play,43b6ed25-3f13-46ea-b6e0-26b84d2a1a2a,Andrew Kaczmarek,Great App,5,0,2.18.0.486.0-aosp-902085801g,2024-05-16 20:58:57,,,en,us
Google Play,883126b5-ec24-46e9-be14-668baab4f4b7,Barbie Hernandez,Easy to use so far! Love that is unlimited storage!!!!,5,0,2.18.0.486.0-aosp-902085801g,2024-05-16 20:56:12,,,en,us
Google Play,80927754-116c-4ade-9ba5-f0d6a4c70bad,Henry Hernandez,I'm having problems with adding my pictures to screen saver on my fire stick.,5,0,2.18.0.486.0-aosp-902085801g,2024-05-16 20:48:49,,,en,us
Google Play,44aa1caa-697c-4f46-b69b-4a8db3b75002,Shelley Buck,Good,5,0,2.18.0.486.0-aosp-902085801g,2024-05-16 20:38:38,,,en,us
Google Play,80213eee-2f81-4d9f-b925-bfe910ada445,Tina Naomi Taytanya Smith,"Great for pictures, sharing moments",5,0,2.18.0.486.0-aosp-902085800g,2024-05-16 20:30:56,,,en,us
Google Play,ffe1f8af-67ee-400f-948b-599262e9d1c5,Tina Elliott,Easy and free to use,5,0,2.18.0.486.0-aosp-902085800g,2024-05-16 20:09:53,,,en,us
