source,review_id,user_name,review_description,rating,thumbs_up,review_version,review_date,developer_response,developer_response_date,language_code,country_code
Google Play,89a523fd-46b4-41f6-b69e-5499d12e24f5,Esheen Espina,Its good at first.,1,0,376.2.2,2024-05-17 13:45:32,,,en,us
Google Play,edbcef13-b547-4af2-bfd3-43112504b473,Nagaseshulu Seshu,Good working,5,0,376.2.2,2024-05-17 12:34:42,,,en,us
Google Play,3e352613-d36c-4c11-a2c9-f55fe3d26b04,Joseph Nyachoti,It's serving me well.,5,0,374.2.4,2024-05-17 12:00:12,,,en,us
Google Play,2bb4e52f-858b-49c3-9746-2264615085d7,FRANKIE ARNOLD,Does The Job!!!,5,0,376.2.2,2024-05-17 09:22:10,,,en,us
Google Play,bc69e114-9841-4359-b80f-b9959c3f36f6,Joseph Adaba,nice app,4,0,376.2.2,2024-05-17 09:19:23,,,en,us
Google Play,2b47c37d-9aac-4a2a-8499-77ec9efc5c4c,Jim B,"Why have you changed the 'save' doc process on Android?classic case of wonderful interface, intuitive easy effective. It forces me to save every doc as ""View"", how is this helpful? What if I've accidentally save a doc as ""View"" already, I'm now blocked from saving there. You're creating issues that don't need to be there & we're not before!",1,1,376.2.2,2024-05-17 09:02:37,"Hi there, you can reach out to our support team on X at @DropboxSupport, on the Dropbox Facebook page, or on our Official Online Community https://www.dropboxforum.com/. We’d like to hear more about this and help out if we can. Thanks!",2024-05-17 12:54:05,en,us
Google Play,350531c7-ae03-410d-aaf6-9d678cb004b8,Benita Fowler,Wanted to have storage on phone to dued can't send emails,2,0,,2024-05-17 05:32:53,,,en,us
Google Play,3127baad-b56a-4055-9e4a-0f57b778d579,Tanya Hall,Drop box is the greatest thing I've come across since the beginning of technology. I love it so much.,5,0,376.2.2,2024-05-17 00:52:40,,,en,us
Google Play,783b03ff-1e53-4121-8de2-0e4eaea74ac7,Angela Clare,Great for my choir practice audios.,4,0,376.2.2,2024-05-16 23:53:23,,,en,us
Google Play,feda4e19-a85b-45c2-90d8-c54ca6644056,Shamik Dwivedi,Great!,5,0,376.2.2,2024-05-16 23:20:07,,,en,us
Google Play,75fcbc4c-12ba-4780-86c4-41e9054ad997,Barbara Rumschlag,Great storage easy to use,5,0,376.2.2,2024-05-16 20:06:53,,,en,us
Google Play,1ae1c619-41ca-4b71-8a26-190835255cb7,S Das,"THEY GOT HACKED MAY 2024.. NOTHING WORKS EVER SINCE . THE SUPPORT IS HORRIBLE , THEY WOULD MAKE YOU FEEL LIKE YOU ARE THE PROBLEM.. INSTED OF FIXING IT. THEY DO THIS TOO THE PAID SUBSCRIPTION MEMBERS.. NONE OF CLOUD PRINTING SERVICE WORKS NOR SCANNING . YOUR DATA IS AT RISK WITH DROPBOX",1,0,376.2.2,2024-05-16 19:44:36,,,en,us
Google Play,08e96e6c-8408-4c53-a6e9-080fd990a6f1,Ahmed Mohammed,Maanka,5,0,,2024-05-16 19:39:27,,,en,us
Google Play,5e6941d1-4674-476c-bfc7-6df1323d1989,Sze Chye Yew,Good,5,0,376.2.2,2024-05-16 12:58:37,,,en,us
