date,review,rating,isEdited,title,userName,developerResponse
3/26/2022 6:18,"I AM R.MALEKRAISI.
Please send me you request for design steel and concrete structures.
Gallery is very interesting application.",5,FALSE,Gallery for MALEKRAISI,nabicivil,
1/22/2023 4:53,"First, I can’t pull up the pictures because everytime I do it says “Can’t open file” and then I’m super bothered that I’m getting messages that someone is looking at my pictures. When I look up the privacy info it looks like everybody and their mother ther can look at my pictures. I have my grandkids pictures and I do want some pedofiler looking at my grandchildren. What kind of app is this. I’m going to find another app to transfer my pictures out of this one. SHAME ON YOU",1,FALSE,This app has so many issues,You got me f**cked up,
10/25/2023 5:44,"I paid the removal of ads a year ago. The app is simply designed and that’s what I looked for. However, I’m getting ads and now they have a monthly subscription for the removal of ads when I already paid a license for the app. Not only they disrespect buyers, but now crave for monthly payments. I might as well just use the native gallery.",1,FALSE,Ads after paying,Ritchierch,"{'id': 39763037, 'body': 'Hi! Thank you for your review and for letting us know.\nPlease, reach out to our Customer Support Team at support.galleryvaultios@zipoapps.com and we will do our best to look into the issue for you.\nThank you!', 'modified': '2023-10-26T21:11:14Z'}"
2/18/2022 4:35,I have put password on it and done everything it has asked and the only notifications I get is someone is looking for your photos allow us to secure them. Wth does that even mean??? It is already supposed to be secure!!!!!,2,FALSE,It’s ok,Darcie_03,
9/15/2023 0:27,Why am I now getting ads again after paying not to have them?,3,FALSE,Ads after paying,Hagmo123,"{'id': 38954478, 'body': 'Hi! Thank you for your review and for letting us know.\nPlease, reach out to our Customer Support Team at support.galleryvaultios@zipoapps.com and we will do our best to look into the issue for you.\nThank you!', 'modified': '2023-09-16T21:06:15Z'}"
10/29/2020 11:27,Nice!,5,FALSE,Happy,mehdi hadan,
3/4/2024 16:22,This app has too many ads and it doesn’t open at times,1,FALSE,Doesn’t open,1Madbih,"{'id': 42402186, 'body': 'Hi,\nThank you for your review.\nWe are sorry to hear that you are unable to use the App at this time. Please, reach out to our support team with the details of the issue at support.galleryvaultios@zipoapps.com  for further assistance. They are only there on a free trial, once you switch to the Premium version, no ads will show.\nThank you!', 'modified': '2024-03-06T04:48:49Z'}"
6/4/2022 4:48,"When I select an image all I see is a file image but not the image itself. I paid for no ads, what a waste.",1,FALSE,Lame.,Nicknamenpc,
7/14/2020 2:39,Non Stop ads and I can’t even add photos to the albums!,1,FALSE,Absolutely Ridiculous,FlagPoleGene,
11/9/2020 6:40,Fill in for now,3,FALSE,Editing,MAR_0805,
4/23/2024 13:19,EVER SINGLE TIME I TRY AND VIEW MY PHOTOS I HAVE TO X OUT AN AD. I AM SO OVER IT. NOTHING COULD BE MORE ANNOYING,2,FALSE,Used to love it now the ad every time I open,criiickettts,"{'id': 43518321, 'body': 'Hi! Thank you so much for your review and the feedback. \nWe are sorry to hear that the ads might have caused inconveniences. They are only there on a free trial, once you switch to the Premium version, no ads will show.\nThank you!', 'modified': '2024-04-25T19:50:55Z'}"
12/25/2020 8:33,Not good update is delete all photo and video vault,1,FALSE,Delete,mahdavimojtaba,
11/30/2020 2:18,Muy buena,5,FALSE,Galería,blad gt,
3/17/2024 17:31,"Un minuto de publicidad para acceder, hay muchas app mejores.",1,FALSE,Pésima app,Publicidad excesiva 2,"{'id': 42693134, 'body': '¡Hola! Muchas gracias por tu reseña y los comentarios.\nLamentamos saber que los anuncios pueden haber causado inconvenientes. Solo están disponibles en una prueba gratuita; una vez que cambie a la versión Premium, no se mostrarán anuncios.\n¡Gracias!', 'modified': '2024-03-19T19:30:10Z'}"
2/16/2023 22:46,3132,5,FALSE,Jose Alberto,Joselito’s,
11/12/2022 16:34,1390,5,FALSE,Dhshdh,s bzvz,
4/22/2024 2:41,"I have saved lots of pictures and videos of the wildlife.they disappeared.i give you a -1,000",1,FALSE,Lost all of my pictures,Goofy12345#4,"{'id': 43470711, 'body': 'Hello!\nThanks for your feedback.\nOur support team will be able to assist you with the matter. Please, drop us a line at support.galleryvaultios@zipoapps.com\nThank you!', 'modified': '2024-04-23T21:05:01Z'}"
"I AM R.MALEKRAISI.
Please send me you request for design steel and concrete structures.
Gallery is very interesting application.",5,FALSE,nabicivil,Gallery for MALEKRAISI,,
"First, I can’t pull up the pictures because everytime I do it says “Can’t open file” and then I’m super bothered that I’m getting messages that someone is looking at my pictures. When I look up the privacy info it looks like everybody and their mother ther can look at my pictures. I have my grandkids pictures and I do want some pedofiler looking at my grandchildren. What kind of app is this. I’m going to find another app to transfer my pictures out of this one. SHAME ON YOU",1,FALSE,You got me f**cked up,This app has so many issues,,
"I paid the removal of ads a year ago. The app is simply designed and that’s what I looked for. However, I’m getting ads and now they have a monthly subscription for the removal of ads when I already paid a license for the app. Not only they disrespect buyers, but now crave for monthly payments. I might as well just use the native gallery.",1,FALSE,Ritchierch,Ads after paying,"{'id': 39763037, 'body': 'Hi! Thank you for your review and for letting us know.\nPlease, reach out to our Customer Support Team at support.galleryvaultios@zipoapps.com and we will do our best to look into the issue for you.\nThank you!', 'modified': '2023-10-26T21:11:14Z'}",
I have put password on it and done everything it has asked and the only notifications I get is someone is looking for your photos allow us to secure them. Wth does that even mean??? It is already supposed to be secure!!!!!,2,FALSE,Darcie_03,It’s ok,,
Why am I now getting ads again after paying not to have them?,3,FALSE,Hagmo123,Ads after paying,"{'id': 38954478, 'body': 'Hi! Thank you for your review and for letting us know.\nPlease, reach out to our Customer Support Team at support.galleryvaultios@zipoapps.com and we will do our best to look into the issue for you.\nThank you!', 'modified': '2023-09-16T21:06:15Z'}",
Nice!,5,FALSE,mehdi hadan,Happy,,
This app has too many ads and it doesn’t open at times,1,FALSE,1Madbih,Doesn’t open,"{'id': 42402186, 'body': 'Hi,\nThank you for your review.\nWe are sorry to hear that you are unable to use the App at this time. Please, reach out to our support team with the details of the issue at support.galleryvaultios@zipoapps.com  for further assistance. They are only there on a free trial, once you switch to the Premium version, no ads will show.\nThank you!', 'modified': '2024-03-06T04:48:49Z'}",
"When I select an image all I see is a file image but not the image itself. I paid for no ads, what a waste.",1,FALSE,Nicknamenpc,Lame.,,
Non Stop ads and I can’t even add photos to the albums!,1,FALSE,FlagPoleGene,Absolutely Ridiculous,,
Fill in for now,3,FALSE,MAR_0805,Editing,,
EVER SINGLE TIME I TRY AND VIEW MY PHOTOS I HAVE TO X OUT AN AD. I AM SO OVER IT. NOTHING COULD BE MORE ANNOYING,2,FALSE,criiickettts,Used to love it now the ad every time I open,"{'id': 43518321, 'body': 'Hi! Thank you so much for your review and the feedback. \nWe are sorry to hear that the ads might have caused inconveniences. They are only there on a free trial, once you switch to the Premium version, no ads will show.\nThank you!', 'modified': '2024-04-25T19:50:55Z'}",
Not good update is delete all photo and video vault,1,FALSE,mahdavimojtaba,Delete,,
Muy buena,5,FALSE,blad gt,Galería,,
"Un minuto de publicidad para acceder, hay muchas app mejores.",1,FALSE,Publicidad excesiva 2,Pésima app,"{'id': 42693134, 'body': '¡Hola! Muchas gracias por tu reseña y los comentarios.\nLamentamos saber que los anuncios pueden haber causado inconvenientes. Solo están disponibles en una prueba gratuita; una vez que cambie a la versión Premium, no se mostrarán anuncios.\n¡Gracias!', 'modified': '2024-03-19T19:30:10Z'}",
3132,5,FALSE,Joselito’s,Jose Alberto,,
1390,5,FALSE,s bzvz,Dhshdh,,
"I have saved lots of pictures and videos of the wildlife.they disappeared.i give you a -1,000",1,FALSE,Goofy12345#4,Lost all of my pictures,"{'id': 43470711, 'body': 'Hello!\nThanks for your feedback.\nOur support team will be able to assist you with the matter. Please, drop us a line at support.galleryvaultios@zipoapps.com\nThank you!', 'modified': '2024-04-23T21:05:01Z'}",
