Name,iCloud Reviews,rating,recommended rating,date
"Ellenore K.


Verified LinkedIn User","""Fine option for storage and sharing ""
                
Pros: I use iCloud mostly for
                    data back-up and sharing. I appreciate the easy syncs between my laptop and iPhone. 
Cons: At times, the sharing seems
                    clunky. Airdrop frequently doesn’t work, and sometimes shared folders take a long time to pop up.",3,10-Jul,21-Mar-24
"Tayeb
                            A.","""Affordable and reliable ""
Overall: I have been using
                    iCloud for years now and I’m more than happy with the service. The plan is affordable and seamlessly
                    integrates across multiple devices. Apple focus on security and them continually adding new security
                    features is something that is much appreciated when storing important data on the cloud. Although, I
                    always recommend backups on a USB just in case.
Pros: Plans very affordable
                    particularly the 50 GB that is almost free.
                    Reliable
                    Fast synchronization
Cons: Would love bridges with
                    other file storage systems like Mega. Wish there was some sort of settings to allow direct transfers
                    from one cloud storage service to another
Switched From: Box
Reasons for Switching to
                        iCloud: I did not really switch as I also use Box as an additional
                    storage location and file backup system",5,10-Oct,18-Mar-24
ANDREW V.,"""Unhappy User""
Overall: Up to now very easy
                    and pleasant, but with all the ""security"" measures, really, really unpleasant. I plan to drop iCloud
                    completely.
Pros: Nothing. I used to like it
                    and it was my e-mail for years. Now it is not a pleasure any more
Cons: Too many security measures.
                    Really, really unpleasant experience just to try and use it",4,10-Oct,28-Mar-24
Daniel E.,"""Great cloud storage solution!!""
Pros: All my files are securely
                    stored, I have access when I need them.
Cons: Payment options and account
                    changes take some time.
Alternatives Considered:
                    Google Drive
Reasons for Choosing
                        iCloud: Price and tools available from all my devices.
Switched From: Google Drive",3,10-Oct,22-Mar-24
Monica M.,"""I love everything Apple!""
Overall: It would be nice if
                    Apple offered more free products with their Apps, but if spending money is necessary, it is
                    affordable compared to other products I have used not Apple affiliated. 
Pros: Apple has the best security
                    software and features hands down! 
Cons: In order to use most
                    products offered by Apple we must pay for it. 
Switched From: Android 11
Reasons for Switching to
                        iCloud: I chose Apple because of ease of access and because they have
                    better security features with all of their products!",2,10-Sep,19-Apr-24
Stefania M.,"""Great cloud""
Pros: iCloud is perfect if you
                    have Apple devices and you need to access your files from different devices. It synchronises across
                    all your devices and you can easily find your documents, edit them or delete them.
Cons: If you have a Windows
                    computer it’s not easy to log in and access your files
Switched From: Google Drive
Reasons for Switching to
                        iCloud: Because I have apple devices and ICloud works better",1,10-Sep,1-Apr-24
"eva
                            D.","""No fuss, reliable storage""
Pros: I love how it's seamlessly
                    integrated with my apple products and is so easy to use. Very reliable and a company i can trust.
                    Easy to use and easy to expand according to needs.
Cons: the cost is maybe a bit
                    high but i'd rather pay a bit more for reliability.
Switched From: Google Drive
Reasons for Switching to
                        iCloud: Better integration with Apple products and easier to use.",3,10-Mar,26-Mar-24
"Taylor S.


Verified LinkedIn User","""Only the best.""
Pros: The fact that it is
                    available for all of my requirements. It integrates into every different operation I use throughout
                    my iPhone and macOS.
Cons: I wish the price was a bit
                    lower, but it is fair. What you get.
Alternatives Considered:
                    Google Drive
Reasons for Choosing
                        iCloud: Overall integration into the devices that I use.",3,10-Aug,15-Mar-24
Sandra V.,"""iCloud is Amazing ""
Overall: My experience with
                    iCloud has always been very good 
Pros: Very easy to use, upload
                    and save everything 
Cons: I thinks it’s a little
                    expensive. You only get a small amount in Gig’s that you can save and then they charge you for more
                    cloud storage. Othe places you get 15 gig before you have to pay? 
Reasons for Choosing
                        iCloud: Becuase I have an iPhone and everything can be synchronized
                
Switched From: Samsung Pay
Reasons for Switching to
                        iCloud: I wanted to move to IPhone becuase it’s safer to use it can’t
                    be hacked",5,10-Aug,8-Apr-24
"Verified Reviewer


Verified LinkedIn User","""Very nice experience""
Overall: I like it to the
                    degree that i regret not using before 
Pros: That i have safe and easy
                    tool for my data
Cons: That it is Expensive when i
                    buy more space 
Switched From: Google Docs and Google Drive
Reasons for Switching to
                        iCloud: That icloud easy and can share it with me family",5,10-Oct,1-Apr-24
