user_name,review_description,rating,review_date
Joe Piepszowski,"Awful app. Amazon has decided that users are incapable of organizing, sorting, or ordering
            their own photos. The most basic function of sorting by name does not exist. Want to backup a folder from
            your PC and view it here? Nope, it all just gets put in with everything else, not even put into its own
            Album. Want to put photos into an album? Hope it's only a couple, because you have to click each photo one
            by one, no batch selecting. I'd list more, but reviews are limited to only 500 characters.",2,"May 11, 2024"
A Google user,"Works well auto uploading photos from phone. Love that I can store uncompressed, even raw,
            pics. Downgraded to 3 stars due to lack of some basic features. When adding pics to folders you can't
            arrange folders alphabetically so you have to look until you find it. Pics won't auto rotate when you rotate
            your device. Basic info isn't readily available (location, what folder it is in, etc). No option to delete
            pics from your device when deleted from this app. Just not well thought out.",3,"May 8, 2024"
Danny,"Amazon Photos' primary benefit is its free unlimited photo storage for Prime members. The
            application/interface as a whole is OK, but there are some areas for improvement. -1 star for not
            automatically sorting images into the album names they were uploaded from. -1 star for taking away the
            feature that allowed users to delete photos from the cloud and local storage simultaneously. Please, please
            bring it back.",3,"May 15, 2024"
Katie Skellenger,"App is clunky and second-rate compared to other similar apps. I can't believe the lack of
            features. Also seems like a scam bc there is no way to delete all photos at once.*** So it cons you into
            paying for photo storage. Cause who wants to individually select hundreds of photos. *** I figured it out.
            You select and then drag/ scroll down through all the photos to select all. Then you can delete multiples or
            all photos.",1,"May 8, 2024"
Rob Oliver,"Unlimited free storage for prime member is great, automatic backup is nice. The app is
            another story. It has zero features for managing/organizing photos. Only download, add to album, edit,
            delete. The desktop web interface at least let's you create folders; and even has the ability to upload
            folders from a PC. But there is no access to folders in the app. No way to relocate, rename, or even
            navigate. This app simply lacks virtually all the features I need from it.",2,"April 22, 2024"
Emmalee Jantzi,"Love the unlimited photo storage for prime members! Unfortunately, it does not include video
            storage, which isn't a huge deal since I move all my videos to an external hard drive anyway. But, the
            constant push notification on the app about my videos not being able to be backed up is really annoying. I
            swipe it away and then it reappears again quickly. Ugh.",5,"April 26, 2024"
susan ross,"I'm changing my review. I did discover how to edit photos again when the app was changed.
            Very nice. Now, I recently discovered the app has been once again 'updated' once again. Updating is not
            always a good thing. Why can't you leave it alone? It is not as easy to order prints now with these changes.
            My goal is still to empty my app of all photos because I do not want to depend on it...it's not dependable.
        ",3,"April 21, 2024"
Tori Sereika,"The app is very basic and not very user friendly. I wish that it would automatically sort
            photos into the same albums that they were imported from. I also wish that the home screen filtered out
            photos/videos that have already been added to albums. I'm trying to sort them into albums to organize it,
            but from the home screen, all I can see is everything - there is no way of telling which ones have already
            been moved to an album. It just feels very disorganized.",1,"March 28, 2024"
Tammy Krout,"Settings don't matter, app does what it wants. Tell it to ignore specific folders, it
            uploads anyway. Tell it not to upload videos, it tries to anyway. Don't bother turning off notifications, it
            will spam your phone with super random messages. Often about video limits being reached when you've told it
            to ignore videos. I've deleted the albums it was supposed to ignore multiple times and they always come
            back. Save yourself time and a lot of headaches. Avoid",1,"May 1, 2024"
Kara Bucher,"When I recently discovered that a flash drive, which had all my children's photos on it
            since the day they were born, was corrupted and I could no longer use it, I was relieved to find out that
            Amazon Photos uploads everything in the background. Now, my photos are safe, and I can finally print them
            all while still having secure digital copies.",5,"May 11, 2024"
IA MERROR (1AMERR0R),"Unusable. Constant app crashes and upload issues. It took forever to upload my photos and
            many of them show up black. You are better off uploading on a PC. Photos are also way to expensive on
            Amazon. Walmart offers a much better deal than this. However, this still works as a way to backup your
            photos. The app just needs some love.",1,"April 22, 2024"
Benjamin Larson,"For the lack of better words. F$-!ing life saver this app is if you take a ton of photos.
            They actually took me recommendation and added a button to turn off backing up videos so it's usable for me
            now. Just delete some of your vids of your space and clear the trash if its at max first, though; Otherwise
            you'll have trouble. Thanks Amazon for unlimited photo original quality+ raw backups!! I'm only scr3^,^ed on
            backing up and cloud access to my enormous videos now!!😏😅",5,"March 18, 2024"
Diana Everett,"I realize, just like all of the picture apps, it's a ploy to squeeze more money out of
            people, by pulling them in with free storage space, but I barely used it and know the space has run out.
            Just like Prime, to entice you with extras to join, but only offer the free junk movies, music, etc. and
            even though you offer all these incentives for the Prime experience, you don't realize that what you're
            getting is half assed until you hook us in. So, no. I don't utilize your Photos App. because I have",3,"April 5, 2024"
Barbara N,"Never loose a photo. And as long as you're a prime member you have more saving space. Love
            the features; can search by date or photo and you use to be able to fix lighting on pictures taken in low
            light. Haven't seen light fix in a minute. But, still I can say nothing bad about Amazon Photos! UPDATE:2024
            STILL GOING STRONG! I LOVE MY AMAZON PRIME!!",5,"March 21, 2024"
Thomas Schmitt,"The fact that you cannot easily multi-select photos like you can in Apl or Ggl photo apps is
            a major, major shortcoming that really angers me. The app seems designed to specifically make it hard for
            users to mass delete photos, I assume because Amazon wants the data in those pictures for as long as
            possible. Therefore, they make it very difficult to perform mass deletion by making mass selection hard.
            Trust not thine photos with Amazon.",1,"May 8, 2024"
