Name,iCloud Reviews,rating,recommended rating,date
"Marine M.


Verified LinkedIn User","""Why you still don't have Google Photos ?
                    ""
Overall: I love google photos
                    a lot. Easy to use, safe and secure. It is like your life summary. I like to spend time there
                    scrolling up and down wathing all my photos from different years for hours. It is like my digital
                    photo album. 
Pros: Google photos is the app I
                    love! Simply, because all my photos from years are securely stored there. Since 2016, all my life is
                    there. This is an excellent photo and video storage app, private, secure. I gather all my photos
                    there and if I need to shate them, I create a folder with specific photos and add the recipient's
                    email address, they get an email with the link, click and access to the photos shared with them.
                    Deleted files can be restored if you changed your mind and want to keep them. You get amazing
                    suggestions daily, it can be as a collage, or story with random photos selected. You see them only,
                    not shared with anyone.
                    Another great function - when you want to search for the dress in the photo for example, there is an
                    icon you press on it and it brings you the search result from Google. Image search on Google is
                    great. There was a plant I didn't know the name, I took a photo and from Google photos did an image
                    search, got the name of that plant. 
Cons: I do not like when I run
                    out of storage. This happens regularly, I do not want to pay for additional storage, instead, I use
                    different email addresses. Each new email address yoy use in Google photos offers 15 GB storage.
                
Switched From: iCloud
Reasons for Switching to
                        Google Photos: Google photos has a more dynamic interface, modern
                    outlook. Way easier to handle. iCloud is too complicated, I always see half the photos.",5,10-Oct,16-Jun-22
"Mary
                            Jane C.","""I love Google, they are my favorite computer
                    company and they just WORK!""
Overall: Every program that
                    works and intergrades without problems, fighting, and just plain works is amazing and Google is
                    Amazing for it! It requires less frustration, less time, quicker turnaround work and speeds, it
                    creates efficiency at its best!
Pros: Access, file transfer,
                    ability to view, Google just not fight with other integrations and programs they are the master!
                
Cons: In our world we always want
                    criticism. What can I do better. Keep updating, keep staying in tune with out every changing
                    electronic world, it will always change and it will alway grow and I just hope you stay in the game
                    a don't back down!
Alternatives Considered:
                    Canva and Adobe Photoshop
Reasons for Choosing
                        Google Photos: I have about 20+ different photo editing and graphic
                    programs and have used many more over the years and will continue to use whatever works for me! I
                    use them all! But Google just Works with everything and there is hands down nothing else that
                    compares to that ability and flexibility. I respect them!!",4,10-Oct,7-Sep-23
"Alicia K.


Verified LinkedIn User","""Too confusing to be worth the coolness""
                
Overall: The best thing about
                    it is that it integrates so well with your phone. That and image-recognition search. But I don't use
                    it because I don't want to be confused between my actual files and Google versions of my files.
                
Pros: Easily find photos by AI
                    recognition, date, and albums.
Cons: Confusing to maintain the
                    device vs cloud database, and some things like videos can't be downloaded.",3,10-May,9-Nov-22
"Fara
                            R.","""Google photos is all I use ""
Pros: I like that I can buy more
                    storage, I can print photos easily, I can save and backup photos directly from my camera or from
                    other apps.
Cons: I love Google Photos and
                    will continue using it.",2,10-Oct,20-Jan-24
"Damon
                            F.","""My review of Google Photos""
Overall: Overall, I have
                    really enjoyed using it. I tell other people to use Google programs such as Google photos when I
                    hear them talking about photo storage. 
Pros: What I like most is how
                    secure my photos are, and the fact that it sink soap with everything else that I use on the Google
                    suite. Accessibility is still very easy for me but very hard for others to get into. And I can still
                    transfer photos without too much hassle.
Cons: There’s honestly not
                    anything that I don’t like about Google Photos. I have tried several other avenues in the past to
                    back up photos and this is by far my favorite. Have not found a feature that I don’t like yet. I’m
                    not saying it’s completely perfect because there’s always room for improvement. But right now it’s
                    suits all of my needs. Now that I’m thinking about it would it be possible to sync google photos
                    with Canva?
Switched From: Shutterstock Editor
Reasons for Switching to
                        Google Photos: I tried shutter stock and it really wasn’t anything
                    wrong with it. I just like Google photos a little better and that’s what I’m used to using so I
                    stayed with that.",1,10-Oct,1-Nov-22
Safiya N.,"""Search by face""
Overall: I use Google Photos
                    to backup what I have on my phone, not everything but still tons of photos and videos. Love
                    searching by location or face, love the new magic eraser, also cinematic moments.Google Photos does
                    more with the photos/videos than Google Drive and that's why I also use it.
Pros: Look for photos according
                    to location or faces, enhance, edit, share. Memories and albums.Some storage free, still low cost
                    after. 
Cons: No more unlimited for free.
                    Such a bummer!Also I want to group photos temporarily for comparison.
Alternatives Considered:
                    FlickRocket
Reasons for Choosing
                        Google Photos: Love Google Drive already
Switched From: NordLocker
Reasons for Switching to
                        Google Photos: To use something easier for photos/videos that don't
                    need to be kept under lock and key.",3,10-Oct,21-Oct-22
"Zane
                            T.


Verified LinkedIn User","""My go-to cloud storage for all my photos
                    ""
Overall: Exceptional! Been a
                    user since the start of Google photos. 
Pros: Ease of use and fast
                    real-time sync makes google photos the best, especially for android users. 
Cons: The highlights feature
                    tends to be buggy but it's the least used feature of google photos for my needs. 
Alternatives Considered:
                    AWS CloudFormation
Reasons for Choosing
                        Google Photos: Ease of use and mobile access. 
Switched From: iCloud
Reasons for Switching to
                        Google Photos: Switched to an android phone, so google photos were more
                    user-friendly.",3,10-Oct,2-Jun-22
"Muhammad Aamer K.


Verified LinkedIn User","""Google photos is the best cloud storage for your
                    media""
Overall: My overall
                    experienced with google photos is great. I like it for it synchronized backup system i like its
                    recovery I like its editing functionality and i like it because i have upto 15 gbs of free cloud
                    storage
Pros: Google Photos is such a
                    great platform that you will like everything about it, I mean It can take backup of your media
                    files(photos and videos) automatically and there your data is very very secured. You have full
                    options of gallery so you can use google photos to view your images and videos right there and
                    delete from your device. You can recover the data if you deleted by mistakes and the best part is
                    that you can also edit your images and videos.
Cons: The thing i like the least
                    about it is that it does not have a separate storage i mean you get a free 15 GBs which is shared by
                    your whole google account like gmail drive and photos",5,10-Oct,14-Dec-23
Animesh G.,"""Let Google Photos manages your memories and
                    moments, you never will regeret.""
Overall: I have been using
                    Google Photos since last more than 5 years now it's really been a tremendous experience for me, I
                    really like the features like face recognition search, UI, ease of usage, specific search and
                    memories and timelines.
Pros: Face recognition photo
                    separation, specific search, timelines, memories.
Cons: Sometimes it asks few
                    questions I agree that it is to make the algorithms better but it annoys sometimes.",5,10-Oct,6-Nov-23
"Norma
                            D.","""Google Photos""
Overall: Over all my
                    experience with Google photos is going great
Pros: What I like most about
                    Google photos is that you can share al with others
Cons: I really do not have any
                    conns with Google Photos",5,10-Oct,30-Oct-23
Tushar G.,"""Google Photos review""
Overall: Overall, I had a
                    positive experience with Google Photos. I really like to store their photos and videos in the cloud
                    and access them from any device.
Pros: - Free storage of upto 15
                    GB- Easy to use with a simple interface that is easy to navigate. - Amazing search capabilities to
                    automatically categorize and tag photos.
Cons: - Loss of original quality
                    as it compresses photos and videos to a lower quality to save space. - Limited editing options -
                    Slow loading over the cloud.",5,10-Aug,6-Apr-23
Vinoth D.,"""Save Your Memories with Google Photos""
                
Pros: Best Cloud Storage App for
                    photos.We can do immediate backup and can access from anywhere at anytime.It will make you mind
                    blowing with your memories everyday.We can Easily search the particular person's photos.
Cons: Data consumption is more
                    otherwise extraordinary.",3,10-Oct,13-Jun-23
Aviral B.,"""Google Photos Review""
Overall: It has been really
                    good experience so far. I have never faced any problem in this software. It has a unique search
                    feature where you can write any sentence and it will show you a picture containing that text.
Pros: Face Recognition Feature is
                    really good. It just requires a basic identification of the photo. After that it displays all the
                    photos of similar face in a single click.
Cons: They should provide some
                    more free space to everyone. Apart from that everything is perfect.",3,10-Sep,30-Aug-22
