source,review_id,review_date,review_description,rating,user_name,review_title,developer_response,developer_response_date,thumbs_up,laguage_code,country_code
App Store,c36e4f6d-8d7c-45f4-8c87-631d52d69eae,2022-11-06 21:22:00,"I have been using Dropbox Plus now for some 5 years. It has been a fantastic tool for my small business as I can save all my files within folders on the Dropbox server and access them from any device, wherever I am working (I am a surveyor who travels to various sites daily). 
I also have the facility to save documents to view offline and edit / amend etc. I can also share files with my workforce, and export documents etc to suit. 
This software has been a fundamental part of running my business and I would definitely recommend it to small business owners.",5,Hot.Chantelle,Fantastic File Management,,,,en,us
App Store,d1107dde-11b9-41b9-a41f-cde78f9ebe78,2021-04-13 19:57:48,"When it works this is very good & deserves its place as one of the market leaders, but it’s not the most generous with free space & if you pay for more space (as I do) it’s not the cheapest out there by a long shot!
However, if you happen to encounter a problem I’m afraid you’re on your own, the community support is flakey with not many hits & little advice useful advice IMHO, emailing customer support is not particularly speedy & takes time to get to heart of the problem!
Also, most importantly, don’t develop a problem out of ‘office hours’ or at the weekend!
All cloud based services like Dropbox will encounter a problem at one time or another, so customer support for a big potential standard setter (like Dropbox would probably like to think it is) should have 24/7 help available, especially for the high subs it asks for!
Otherwise I guess it’s as good as anything else around!",4,GreekNiko,"Great, expensive tho, customer support not top notch l!","{'id': 22216691, 'body': 'Hey there, thanks for your review.\n\nSupport options and response times do vary, depending on account type. You’ll find more info about this here https://help.dropbox.com/teams-admins/team-member/customer-support-levels.\n\nRegarding our Community, in addition to user input and posts, our team is also actively engaged, and provides answers and troubleshooting support.\n\nIn addition to that, you can also reach out to our teams on social media on Twitter at @DropboxSupport or Facebook at facebook.com/Dropbox.\n\nWhile our Community and Social Media teams don’t have access to Dropbox accounts like our support agents do, they’ll provide as much help as possible, and can check on support tickets and issues for you from there.\n\nNow, we appreciate your feedback about this, and we’re happy to forward it to our teams for their awareness.\n\nCheers!', 'modified': '2021-04-13T12:06:59Z'}",,,en,us
App Store,80f874e8-5f64-481a-af59-5f77a0aa984c,2021-11-26 02:31:46,"I rarely write reviews but this app is really frustrating to use, after some “genius” decided to change the flow of saving a file on your device. Someone needs to find a new UX expert. Why do you think anyone wants to go through 4 steps to save an image from Dropbox to their phone? This is how ridiculous the flow is: tap on the file > share > export file > save image. It gets worse. The “save image” in not the first option but the third option hidden under the fold so as you try to scroll you may accidentally select the other two options (which I never use) and then have to start again. Why not have “save image” in the top level or under “export”, not “share”? Why is “manage link settings” (who needs that?) before “export file”???

Also, sort by “date modified” hasn’t been working for a while. When selected, it sorts files alphabetically.",2,HealthyFoodie77,Why make saving files so complicated?,"{'id': 26530271, 'body': 'Hey there, thanks for your review.\n\nWe appreciate your comments and feedback, and are happy to pass them on to the team for their awareness.\n\nRegarding the sort function, we encourage you to reach out to us on Twitter at @DropboxSupport, Facebook at facebook.com/Dropbox, or on our Official Online Community https://www.dropboxforum.com so we can have a look, and help troubleshoot.\n\nCheers!', 'modified': '2021-11-29T09:40:04Z'}",,,en,us
App Store,a9fb0915-9361-4cd7-8054-f28d30396ca0,2022-12-19 19:30:18,"Dropbox used to be great, it’s been my go to storage choice for years. However, I can no longer recommend it. On my iPad Pro, it is unstable, janky, and highly frustrating to use. A second ago I was searching for a particular file to upload; when I started typing in the file, I received a Dropbox error message.  This happens every time, and means I have to retype the file from 3 to over a dozen times ( I give up after 12 attempts).

Another annoying issue is when trying to upload files in batches. If I wish to upload a group of files, even only a few, I get an invalid file name error. However, if I use the upload function from within Dropbox, the file name is magically no longer an issue. This is so frustrating that I have often considered cancelling my subscription after backing all my files up to alternative storage. I have thousands of files I wish to store, can you imagine how frustrating it is to only be able to upload them one at a time? 

Uninstalling and reinstalling do not fix the issues.

There are several other issues I encounter that make me consider other options; I am waiting to see if things get fixed, else I might have to move. I don’t really want to as I have been a loyal Dropbox user for many years, but I need a reliable, easy to use storage option and at the moment, Dropbox is not it.",1,OriginalDal,No longer good,"{'id': 33992685, 'body': 'Hey there, we appreciate your review.\n\nWe’re sorry to hear about your experience, and we’d like to take a closer look, and help troubleshoot. If you could reach out to our support team from here https://www.dropbox.com/support (while signed into your account online), and provide some additional information, it would be great.\n\nThanks!', 'modified': '2022-12-29T11:05:41Z'}",,,en,us
App Store,fb1b5ea6-0509-4db2-bf54-b81b341817df,2020-09-14 12:05:09,"I love love this app, one of the easiest storage apps but my goodness the fee. You only get 2GB for free which is too little for most people but then if you want to subscribe the only option is to get 1TB. Realistically no ones going to use up that much space straight away. I’ve had my paid account for about 2y? now and I’m not even half way (just checked and I’ve used up 7.5% of my paid storage, 7.5!!) it would have been logical to have different paid options so everyone can choose what suits them best. If you need more storage down the line you just get a more expensive option. 
I’ve contacted the CS numerous times regarding this but they just say we don’t have another option for now so it’s no help. 
Once I clean up my phone and back up all my photos onto my laptop I will be unsubscribing unfortunately and only use the free option if I need it.",2,Kamzeh,Amazing app but the fee,,,,en,us
App Store,3ecf5a00-ebf3-49b9-9252-2aaf95e83e8f,2022-12-15 23:13:14,"Basic stuff fails.
If you use the built in text file editor to write a report, then every few minutes DropBox takes you out of edit mode into read mode, without warning you, and erases everything you've written so far but didn't save.  God! such stupidity by the developers is frustrating.  So now I have to use another bloody app just to edit text files that reside in my DropBox.  Ughhh! Dec 2022.

It would be great if DropBox would included an rtf editor within the preview pane on iOS. As of today - June 2018 - the only files you can directly type into are .txt files. Such a shame - surely an rtf-editor isn't too much to ask for? On the positive side, without dropbox it would be a real struggle to switch over to using iPad as an everyday business tool. The offline files facility is SO much better than Google Drive.",2,George AdvHtg,Flakey,,,,en,us
App Store,2ee52e9f-0b59-4648-a601-f991671db76b,2023-11-22 20:45:50,"I signed up to Drop box plus in April this year and my account never upgraded, it stayed as a ‘free’ basic profile, and as I signed up via the App Dropbox won’t refund me they say Apple has to and Apple have only offered 2 months refund. So, it never upgraded, iv been paying for it & they make it impossible to speak to anyone on the phone which is so frustrating. I’ve contacted help only to be told we can’t refund you & no one has even explained to me why I’ve been paying for the service but not getting it. I spoke to many advisors on the chat as you can’t get through to actual people on the phone & not one of them could resolve why my account didn’t upgrade. It’s still unsolved and I have paid dropbox for a service I didn’t get & they hide behind a clause, so if you upgrade, don’t do it through the App, you’ll have no protection.",1,JenMezzo,Terrible service don’t sign up!,"{'id': 40386769, 'body': 'Hey there, we’re sorry to hear about your experience.\n\nPlease note that you can always reach out to us on Twitter at @DropboxSupport, Facebook at facebook.com/Dropbox, or on our Official Online Community https://www.dropboxforum.com, for any issue or question regarding your Dropbox account.\n\nThat said, if you’d like to get in touch with us regarding the issue you mentioned here, we’ll be happy to take a look.\n\nThanks!', 'modified': '2023-11-28T11:00:51Z'}",,,en,us
App Store,e5b6ee59-c0d8-4bf1-9912-e9102908c493,2018-05-29 08:37:29,"I joined Dropbox 9 years ago and since then I use it on daily basis. 
I am a big fan... the app is very easy to use, convenient to keep those receipts I can’t throw away. Sharing files with my friends is easy and they can also have a copy of “that” special picture I took. Mum has access to my pictures and from abroad (15k miles away) she can check them out at anytime and see her grandchildren growing up at fast pace. 
Its reliable and secure! I trust my files are safe and at my fingertip at anytime!
Thank you the developers for coming out with this great tool!!",5,Guttibh,Amazing tool day in day out....,,,,en,us
App Store,fe24c0b5-3ff0-44b0-b8a6-c9ef7a60db01,2021-04-17 15:36:36,"It’s a fantastic app, truly, I use it a lot. But it seems to lack some polish when integrating with iOS, and just support for modern video standards.

My main gripe is you can’t export Live photos from iPhone, something Apple have supported for years there’s not really a good reason for not being able to export the mov file associated with Live photos. It means you still have to sync to a Mac and then export to Dropbox if you want to retain them, a major additional faff.

Also the lack of support for HDR video previews is a little baffling, HDR has not really snuck up on us, it’s been coming for a long time. I’d like to be able to watch HDR without then looking like a washed out mess please.",3,Rasheef,Great but has limits,,,,en,us
App Store,8989454e-a002-40cd-bf43-d07add653430,2020-06-27 10:32:59,"Been yang DB for a couple years now as a paid subscription instead of using a hard drive. It’s great for storage but as I use it for all my media, photos, video and music have found that it lacks a lot in terms on media functionality. Would be great to have integrated media player with editing software, photo editing even being able to carry out simple tasks such as rotating images instead of having to export edit then save again and delete original unedited files. 
Also truth to batch move multilevel files in the app occasionally crashes and files are not moved and deselection of files and attempt to move again is required.",3,Darreng0506,Great for storage but that’s about it,"{'id': 12972499, 'body': 'Hey there, thanks for reviewing our app. \n\nWe’re glad to hear that you enjoy using it, and we’re happy to forward our suggestions to our team for consideration! \n\nCheers\n', 'modified': '2020-01-17T11:51:45Z'}",,,en,us
App Store,94899fae-4101-40ae-966d-e1ea825b5e38,2023-02-26 09:59:08,"Why does the developer keep giving the same response without fixing the problem??

The iPad app is now getting worse. It is now virtually unusable without crashing. I posted a review awhile ago and followed the developers response. I can confirm that I am operating the latest iOS and have deleted and reinstalled the app. There has been no change to its reliability. If anything, it’s got worse even after the latest updates! Every time I carry out a task it crashes. What’s going on?",5,Smart 101,Unusable - update,"{'id': 34378515, 'body': 'Hey there, thanks for your review.\n\nWe’re sorry to hear that you’re experiencing this issue. Please ensure that your iPad is updated to the latest version of iOS that’s available for it. Then, delete our app, restart your iPad, and install again from the App Store.\n\nIf the issue persists, we encourage you to reach out to us on Twitter at @DropboxSupport, Facebook at facebook.com/Dropbox, or on our Official Online Community https://www.dropboxforum.com, for further help.\n\nCheers!', 'modified': '2023-01-19T10:43:26Z'}",,,en,us
App Store,13f66067-fbb2-43ba-a194-ae381a5cb631,2022-10-07 08:54:33,"I’ve had a Dropbox account for as long as I can remember but I’m seriously thinking of chucking it. They have changed their Home Screen, so it’s very difficult to find a folder I’m looking for. It seems to only show recent files/folders but if I require to look at an older folder it’s impossible to find. I don’t even have that many folders! I’m not sure when  this changed but it’s quite annoying. Google images has a better app and I can find folders easier on their desktop profile as well. 

For basic backing up of phone files it’s fine but I use this in a work capacity and sharing of folders.",3,evamarcy,App not user friendly,"{'id': 32655351, 'body': 'Hey there, we’re sorry to hear about that. Go ahead and reach out to our teams on Twitter at @DropboxSupport or on our Official Online Community https://www.dropboxforum.com/ so we can have a look, and see what we can do to help.\nThanks!', 'modified': '2022-10-19T00:25:42Z'}",,,en,us
App Store,13232e2b-7aa6-486c-a4c3-19ad1ca59cbe,2018-06-07 13:26:21,"All I want to do is move my files out of dropbox into my ordinary device storage. It only gives me the option to download and view my files inside the app. I need it outside the app to use it to edit videos, transfer it to other mediums, like my usb flash drive. I feel like my own property is being controlled and quarantined away from me. I feel  angry. EDIT!: I am happy! I have found out how to properly download my files. I click ”...”, then I click “export”, then I click “open in...”, then I can save to my iphone, copy to my Google drive and do what I want. Thank you!",4,AAA.KS,Wonderful!,,,,en,us
App Store,e1872264-7068-48a6-a354-57fa0b6755bb,2020-07-07 15:44:48,"I've either been unable to upload any files from my iPhone since September 2019 - or uploads were painfully slow and required the app to be open and the screen on. Background uploads DO NOT WORK.

After a very unhelpful exchange with Dane from Dropbox Support he confirmed that it was no longer fully compatable since the intro of iOS13! I was told that my paid subscription is for the backup servers only and not the App. His advice was to resort to the desktop software and that my paid subscription does not involve any support. 

This was the end of our correspondence and no assistance was even given to obtain the files. Very disappointing as I've been paying for something I can't use as intended for 10 months. No offer of a refund was provided.",1,MrWillRA,App Broken Since iOS13,"{'id': 16484176, 'body': 'Hi there, we’re sorry to hear about that. \n\nOur social media team at @DropboxSupport would be happy to have a look at this for you. \n\nCan you please send our team a tweet with more details, or DM (direct private message) your support ticket number, so they can follow up? \n\nThanks! \n', 'modified': '2020-07-08T11:43:17Z'}",,,en,us
App Store,53a8d9cf-772d-4772-8bb5-dbb0b5ba8949,2023-06-19 17:26:58,"I have very few complaints about Dropbox as a service, the web interface is good and the desktop integration works a treat too. However, the iOS apps are terrible. The file navigation is so confusing I find them barely useable.

Really basic navigation aids like a breadcrumb trail of where you are in the file structure is missing, no column view, no progress bars when something is downloading. Weird grouping of files and folders. I could go on!

1 Star for iOS apps and 4.5 Stars for Dropbox itself",3,antonyjsmith,Dropbox is great - iOS Apps are not,,,,en,us
App Store,b092f5c8-0029-4f73-9bb9-c8f397b716dc,2023-11-18 10:22:01,"As a paid subscription service based on privacy, do you really need to sell our data to other companies across the internet? And if you’re not selling it, why track us? —- —- —-  Ok so thanks for the ‘developer response’, which doesn’t answer my question (or appear here? Yet?). I’m not asking about the security of my files on Dropbox. I’ll repeat as clearly as I can…. I’m asking why this app needs to use trackers on your paying customers? After charging us the storage fee, why do you then need to sell our internet activity details to other companies? That’s what ‘tracking’ is, right?",2,Nikolas Name,"Why the tracking, Dropbox?","{'id': 40195750, 'body': ""Hi there. If you haven't already, please have a look here: https://help.dropbox.com/security/file-access, for more details on file security in your account. We'd like to hear more about what it is you're experiencing exactly. Go ahead and post on our community https://www.dropboxforum.com/, or contact our team on Twitter at @DropboxSupport or Facebook at facebook.com/Dropbox, so we can gather more details. Thanks!"", 'modified': '2023-11-17T11:05:25Z'}",,,en,us
App Store,aa07e8a7-d70c-4646-9b1b-d9c94de9d5fa,2020-05-30 11:00:24,"I downloaded this app and initially thought it was great to hold my school support documents on, making it easier to send information straight from my phone to parents, during the Covid lockdown I am supporting families and children especially with their transition anxiety to their next school. I have some very supportive documents which I had hoped I could send to parents and you have not allowed me to attach them unless I upgrade! I am really disappointed that during this very difficult time that your company are not supporting us key workers to help support families by lifting this fee. Truly disappointed.
This could have been a really good tool to help us but instead the greedy fee has been your only interest.",1,Ennoaj,Thought this would help!,,,,en,us
App Store,f4023368-adf6-4fd8-adaf-004ce1d0edcf,2023-12-31 15:03:15,"Been using the app for almost 10 years, and the basic stuff never gets picked up on or fixed. 
- the scroll ‘pin’ is so small it’s basically impossible to use, please just make it a little bigger
- if you play an audio file and then lock your phone too quickly it’ll just stop playback
- the scrub functionality when playing a video/audio file is too fiddly, usually ending up in flicking to the next file
- downloaded files are a mess. They often unsync without reason- or they prompt you to ‘refresh’ to sync without any practical option to actually do that",2,caffienated,Janky app,"{'id': 41088135, 'body': 'Hey there, we’re sorry to hear that you’re experiencing an issue with our app.\nWe would like to get some additional information about this, and help in any way we can. Please reach out to our teams on Twitter at @DropboxSupport or on our Official Online Community https://www.dropboxforum.com/ so we can have a look with you.\nThanks!', 'modified': '2024-01-05T02:02:24Z'}",,,en,us
App Store,8f6883c9-feba-49b6-9ca0-c501b33032d0,2023-07-21 15:14:22,"I’ve used the Dropbox plus 2TB for a couple of years now. It works well across all platforms with no complaints. It’s annoying that there isn’t a 500gb or 1TB option because at 8.99 per month it’s a bit steep. 
So when there is a problem, Dropbox’s customer support service is terrible. I had an issue with my apple subscription payment not reaching DB. They blamed apple of course. Their email response time is about a week and the online chat agents are useless. I’ve also received an email from them saying my storage is low and I need to upgrade which simply isn’t true. I suspect there are gremlins in the system.",1,G-whizz,Good…until something goes wrong,"{'id': 38092515, 'body': ""Hi there, we're sorry to hear that. We’d like to look into this further with you. If you’d like that too, please post on our community https://www.dropboxforum.com/, or contact our team on Twitter at @DropboxSupport or Facebook at facebook.com/Dropbox, so we can gather more details. Thanks!"", 'modified': '2023-08-04T07:51:37Z'}",,,en,us
App Store,115e0df7-94ba-4901-b85e-35e6bdf6b398,2020-09-17 14:06:20,"The app itself has always worked fine, but I can’t rate it any higher than two stars because the browser version- on my tablet at least- is so slow as to be unusable. It’s not my browser/tablet as this is the only website I have a speed problem with. Two test runs to access two different files took more than half an hour (and I still can only open them on the screen, not download!).

If you only want to use the app it’s ok, but if you ever want to be able to access your files from any device that doesn’t have it, I strongly suggest another cloud storage provider.",2,Catfish_Spoonbender,App OK but not compatible,,,,en,us
App Store,15c2178c-ecaa-4fcf-be1a-a633b7412d1f,2020-03-06 19:55:29,"I very rarely write reviews, but Dropbox has earned 5 stars from me more than once. Absolute life saver, I pay for business storage and have never regretted it once. It’s saved me after tipping water on my laptop on client deadline day, and from my own stupidity deleting files without thinking. If you’re thinking about whether it’s worth paying for the space to keep all your files in the cloud...it is. Do it now and thank yourself later.",5,JoeLeese,Life saver,"{'id': 13985010, 'body': 'Hey there, JoeLeese.\n\nThank you so much for taking the time to comment, and to share your experience with us. \n\nWe’re very happy to hear that you like using our app and services, and that we’ve been able to help out when things go awry.\n\nCheers! \n', 'modified': '2020-03-11T11:44:54Z'}",,,en,us
App Store,ae916c08-fcae-4f18-8df9-4ad061bd262e,2023-07-01 09:54:58,"Moving to another country not the easiest thing when it comes to Dropbox. Seems to be harder if you are a Premium member - which seems counterintuitive. However time cures all ills. So essentially have to wait a year (in my case as I paid the year), let Premium lapse so account becomes basic. Then can cancel and renew with new country details and currency. So, maddening for a while but help was persistent, pleasant, and  provided a clear solution. Appreciated the follow up too.",4,Derek49,Always a Solution,"{'id': 37413564, 'body': 'Hey there, we’re sorry to hear about your experience.\n\nTo change the currency with which you pay for your subscription, a downgrade should be all that’s needed. Once downgraded, you can then upgrade again with the new billing information of your choice.\n\nIf you’d like for us to have a look at this with you, we encourage you to reach out to us on Twitter at @DropboxSupport, Facebook at facebook.com/Dropbox, or on our Official Online Community https://www.dropboxforum.com, and we’ll be happy to help in any way possible.\n\nCheers!', 'modified': '2023-06-30T09:42:23Z'}",,,en,us
App Store,80492bd3-21a4-4e4a-b5ae-eda1c2189af3,2023-09-21 21:48:50,"Maybe useful but i just cannot comprehend why it needs to use 102mb just for the app by itself which is just a file manager of sorts.. Its bigger than most of my more complex music apps when it should be the other way round.. What with it being on iphone and ipad, both 16gb, its a lot of storage in itself just for what it is, meaning some files in my cloud (certainly less than 102mb) may not even download due to...space!.. Dropbox is hogging a whole load of space since it needs to stay in place for any usefulness... also, please remove the nowadays ludicrous limit of 2/3 devices, its not hurting anyone for me to use 1 or 2 more",1,Animouse21,Bloated..,,,,en,us
