,date,review,rating,isEdited,title,userName,developerResponse
0,2022-11-06 21:22:00,"I have been using Dropbox Plus now for some 5 years. It has been a fantastic tool for my small business as I can save all my files within folders on the Dropbox server and access them from any device, wherever I am working (I am a surveyor who travels to various sites daily). 
I also have the facility to save documents to view offline and edit / amend etc. I can also share files with my workforce, and export documents etc to suit. 
This software has been a fundamental part of running my business and I would definitely recommend it to small business owners.",5,False,Fantastic File Management,Hot.Chantelle,
1,2021-04-13 19:57:48,"When it works this is very good & deserves its place as one of the market leaders, but it’s not the most generous with free space & if you pay for more space (as I do) it’s not the cheapest out there by a long shot!
However, if you happen to encounter a problem I’m afraid you’re on your own, the community support is flakey with not many hits & little advice useful advice IMHO, emailing customer support is not particularly speedy & takes time to get to heart of the problem!
Also, most importantly, don’t develop a problem out of ‘office hours’ or at the weekend!
All cloud based services like Dropbox will encounter a problem at one time or another, so customer support for a big potential standard setter (like Dropbox would probably like to think it is) should have 24/7 help available, especially for the high subs it asks for!
Otherwise I guess it’s as good as anything else around!",4,True,"Great, expensive tho, customer support not top notch l!",GreekNiko,"{'id': 22216691, 'body': 'Hey there, thanks for your review.\n\nSupport options and response times do vary, depending on account type. You’ll find more info about this here https://help.dropbox.com/teams-admins/team-member/customer-support-levels.\n\nRegarding our Community, in addition to user input and posts, our team is also actively engaged, and provides answers and troubleshooting support.\n\nIn addition to that, you can also reach out to our teams on social media on Twitter at @DropboxSupport or Facebook at facebook.com/Dropbox.\n\nWhile our Community and Social Media teams don’t have access to Dropbox accounts like our support agents do, they’ll provide as much help as possible, and can check on support tickets and issues for you from there.\n\nNow, we appreciate your feedback about this, and we’re happy to forward it to our teams for their awareness.\n\nCheers!', 'modified': '2021-04-13T12:06:59Z'}"
2,2021-11-26 02:31:46,"I rarely write reviews but this app is really frustrating to use, after some “genius” decided to change the flow of saving a file on your device. Someone needs to find a new UX expert. Why do you think anyone wants to go through 4 steps to save an image from Dropbox to their phone? This is how ridiculous the flow is: tap on the file > share > export file > save image. It gets worse. The “save image” in not the first option but the third option hidden under the fold so as you try to scroll you may accidentally select the other two options (which I never use) and then have to start again. Why not have “save image” in the top level or under “export”, not “share”? Why is “manage link settings” (who needs that?) before “export file”???

Also, sort by “date modified” hasn’t been working for a while. When selected, it sorts files alphabetically.",2,False,Why make saving files so complicated?,HealthyFoodie77,"{'id': 26530271, 'body': 'Hey there, thanks for your review.\n\nWe appreciate your comments and feedback, and are happy to pass them on to the team for their awareness.\n\nRegarding the sort function, we encourage you to reach out to us on Twitter at @DropboxSupport, Facebook at facebook.com/Dropbox, or on our Official Online Community https://www.dropboxforum.com so we can have a look, and help troubleshoot.\n\nCheers!', 'modified': '2021-11-29T09:40:04Z'}"
3,2022-12-19 19:30:18,"Dropbox used to be great, it’s been my go to storage choice for years. However, I can no longer recommend it. On my iPad Pro, it is unstable, janky, and highly frustrating to use. A second ago I was searching for a particular file to upload; when I started typing in the file, I received a Dropbox error message.  This happens every time, and means I have to retype the file from 3 to over a dozen times ( I give up after 12 attempts).

Another annoying issue is when trying to upload files in batches. If I wish to upload a group of files, even only a few, I get an invalid file name error. However, if I use the upload function from within Dropbox, the file name is magically no longer an issue. This is so frustrating that I have often considered cancelling my subscription after backing all my files up to alternative storage. I have thousands of files I wish to store, can you imagine how frustrating it is to only be able to upload them one at a time? 

Uninstalling and reinstalling do not fix the issues.

There are several other issues I encounter that make me consider other options; I am waiting to see if things get fixed, else I might have to move. I don’t really want to as I have been a loyal Dropbox user for many years, but I need a reliable, easy to use storage option and at the moment, Dropbox is not it.",1,False,No longer good,OriginalDal,"{'id': 33992685, 'body': 'Hey there, we appreciate your review.\n\nWe’re sorry to hear about your experience, and we’d like to take a closer look, and help troubleshoot. If you could reach out to our support team from here https://www.dropbox.com/support (while signed into your account online), and provide some additional information, it would be great.\n\nThanks!', 'modified': '2022-12-29T11:05:41Z'}"
4,2020-09-14 12:05:09,"I love love this app, one of the easiest storage apps but my goodness the fee. You only get 2GB for free which is too little for most people but then if you want to subscribe the only option is to get 1TB. Realistically no ones going to use up that much space straight away. I’ve had my paid account for about 2y? now and I’m not even half way (just checked and I’ve used up 7.5% of my paid storage, 7.5!!) it would have been logical to have different paid options so everyone can choose what suits them best. If you need more storage down the line you just get a more expensive option. 
I’ve contacted the CS numerous times regarding this but they just say we don’t have another option for now so it’s no help. 
Once I clean up my phone and back up all my photos onto my laptop I will be unsubscribing unfortunately and only use the free option if I need it.",2,False,Amazing app but the fee,Kamzeh,
5,2022-12-15 23:13:14,"Basic stuff fails.
If you use the built in text file editor to write a report, then every few minutes DropBox takes you out of edit mode into read mode, without warning you, and erases everything you've written so far but didn't save.  God! such stupidity by the developers is frustrating.  So now I have to use another bloody app just to edit text files that reside in my DropBox.  Ughhh! Dec 2022.

It would be great if DropBox would included an rtf editor within the preview pane on iOS. As of today - June 2018 - the only files you can directly type into are .txt files. Such a shame - surely an rtf-editor isn't too much to ask for? On the positive side, without dropbox it would be a real struggle to switch over to using iPad as an everyday business tool. The offline files facility is SO much better than Google Drive.",2,False,Flakey,George AdvHtg,
6,2023-11-22 20:45:50,"I signed up to Drop box plus in April this year and my account never upgraded, it stayed as a ‘free’ basic profile, and as I signed up via the App Dropbox won’t refund me they say Apple has to and Apple have only offered 2 months refund. So, it never upgraded, iv been paying for it & they make it impossible to speak to anyone on the phone which is so frustrating. I’ve contacted help only to be told we can’t refund you & no one has even explained to me why I’ve been paying for the service but not getting it. I spoke to many advisors on the chat as you can’t get through to actual people on the phone & not one of them could resolve why my account didn’t upgrade. It’s still unsolved and I have paid dropbox for a service I didn’t get & they hide behind a clause, so if you upgrade, don’t do it through the App, you’ll have no protection.",1,False,Terrible service don’t sign up!,JenMezzo,"{'id': 40386769, 'body': 'Hey there, we’re sorry to hear about your experience.\n\nPlease note that you can always reach out to us on Twitter at @DropboxSupport, Facebook at facebook.com/Dropbox, or on our Official Online Community https://www.dropboxforum.com, for any issue or question regarding your Dropbox account.\n\nThat said, if you’d like to get in touch with us regarding the issue you mentioned here, we’ll be happy to take a look.\n\nThanks!', 'modified': '2023-11-28T11:00:51Z'}"
7,2018-05-29 08:37:29,"I joined Dropbox 9 years ago and since then I use it on daily basis. 
I am a big fan... the app is very easy to use, convenient to keep those receipts I can’t throw away. Sharing files with my friends is easy and they can also have a copy of “that” special picture I took. Mum has access to my pictures and from abroad (15k miles away) she can check them out at anytime and see her grandchildren growing up at fast pace. 
Its reliable and secure! I trust my files are safe and at my fingertip at anytime!
Thank you the developers for coming out with this great tool!!",5,False,Amazing tool day in day out....,Guttibh,
8,2021-04-17 15:36:36,"It’s a fantastic app, truly, I use it a lot. But it seems to lack some polish when integrating with iOS, and just support for modern video standards.

My main gripe is you can’t export Live photos from iPhone, something Apple have supported for years there’s not really a good reason for not being able to export the mov file associated with Live photos. It means you still have to sync to a Mac and then export to Dropbox if you want to retain them, a major additional faff.

Also the lack of support for HDR video previews is a little baffling, HDR has not really snuck up on us, it’s been coming for a long time. I’d like to be able to watch HDR without then looking like a washed out mess please.",3,False,Great but has limits,Rasheef,
9,2020-06-27 10:32:59,"Been yang DB for a couple years now as a paid subscription instead of using a hard drive. It’s great for storage but as I use it for all my media, photos, video and music have found that it lacks a lot in terms on media functionality. Would be great to have integrated media player with editing software, photo editing even being able to carry out simple tasks such as rotating images instead of having to export edit then save again and delete original unedited files. 
Also truth to batch move multilevel files in the app occasionally crashes and files are not moved and deselection of files and attempt to move again is required.",3,True,Great for storage but that’s about it,Darreng0506,"{'id': 12972499, 'body': 'Hey there, thanks for reviewing our app. \n\nWe’re glad to hear that you enjoy using it, and we’re happy to forward our suggestions to our team for consideration! \n\nCheers\n', 'modified': '2020-01-17T11:51:45Z'}"
