,date,review,rating,isEdited,title,userName,developerResponse
0,2021-12-21 20:23:32,"Onedrive is an outstanding app that is clearly showing itself as one the most important and convenient apps for any person. This app is a must-have for anyone with many documents to handle, because it is not only very easy to use, but is great for saving your work. You’ll be able to save your work anywhere, whether it’s the overall Onedrive or a specific folder. This app clearly demonstrates the meaning of ‘helpful’ because all of us students always have our work ready to hand in. It’s very easy to create folders and offers fast syncing. The functionality and design is gripping; the app is also free, just like the other office apps. Thanks to the fact that I can manage a single office account over many devices, I never have a problem with uploading assignments. And lastly, Onedrive also allows you to save photos and videos for memories; so why not make a new folder and save all of it there? You can even purchase deals that are very good for the price - a $9.99 monthly home subscription for a family is fantastic as it offers 1 terabyte for 6 family members. Plenty of data for the family. Thank you for proving that you guys are the best, Microsoft. Deserves more than 5 stars.",5,False,Amazing and very reliable!,Freewiseguy,
1,2019-09-08 22:07:36,"This app is second to none. I use my onedrive for everything from college (now uni) to home files. I have something like 4 years and about 300gb of photos and videos backed up which I can access so easily across any of my devices, no matter the platform. One of the best things about Onedrive is how universally accessible it is, but also how well it works and the fabulous functionality it provides. With the recent update to the application interface, it is really easy and pleasant to use. The development team are truly incredible and they really seem to take on the feedback of their users. The app is regularly updated with USEFUL updates not just the usual “bug fixes” or “performance improvements” like every single other app seems to do. 

I have tried using a range of other services such as google drive, ICloud Drive and Dropbox, but onedrive is simply the best in terms of functionality, compatibility and features. For £6.99 per month I get 1tb of storage with full access to the latest Microsoft office applications, which is really handy. 

One final thing to mention is that onedrive is a good idea for photos if you have a windows computer, as photos you upload to onedrive will sync to the photos app in windows, meaning you can see them all seamlessly on your computer.

Big thanks to the team who make Onedrive so truly brilliant!",5,False,Outstanding,Zoltage,
2,2020-07-10 16:51:44,"I really love Onedrive in many ways and I am a paying subscriber. I use it mostly to store all of my photos going back over years and I love so many things about the app. However, there is one issue which is huge for me and I am borderline on switching to another big cloud provider because of it. I checked - they have this feature. I don't want to switch, it's so much work, but this really bugs me. The issue is, for whatever reason some of my older photos (5+ years old) uploaded without the exif data for date created. I don't know why because the correct date shows on the (1yr old WD) hard drive they were uploaded from, via windows 10. I thought ok, they're old photos. The big problem is I can't edit the date the photo was taken on Onedrive. So, very old photos show up in my chronological photo timeline as having been taken this year, because Onedrive assigns their upload date to them. This disorder pains me and makes looking through my photo collection not enjoyable. Please, please add this feature ASAP. I will have to move cloud providers if I can't fix this.",4,False,Please fix this one issue!,AM1258,
3,2019-05-24 23:14:34,"For all I love the simplicity of One Drive. I pay a subscription monthly yet as in previous comments. The app forgets where it is navigating to or asks to open in browser then loops back again to ask to open in browser. 
The folder files are always a different look to how they looked on the app And in browser, or if on a pc or iOS device. So then caused a little confusion in where I had saved it too. 
Also managed to not save my work when my phone ran out of battery. I tried finding the lost file in last place I used it and the folder I had opened it from, looked through the temp folders etc. By then I had no choice but to sit and redo all the work I had previously completed. Disappointed by some way, I pay a monthly subscription but I think one drive has become too complicated trying to do all things for all apps. 
Also I have a personal one drive that I didn’t mean to share with a group Of colleagues which contained all my personal files. So it is far from bomb proof. 
Best wishes and hope you can make one drive a stronger stand alone app.",3,False,One drive,K Peebles,
4,2021-02-25 11:12:23,"Use this app on a daily basis. Brilliant app as can make stuff available offline (which is a godsend in my work as can’t have devices connected to a mobile network at certain times) so this facility is perfect. 

I have loads of files, rule books etc. that I need to use and have digital copies stored online and this works great for me. 

However, this app does not “talk” to the Apple developed Files widget. It also doesn’t show documents in the recent section of the files app. Now this could be Apple or Microsofts end. I have contacted Apple and asked them to look at it but need Microsoft to look into it aswell. The Files widget on one of my homescreen pages would be a brilliant addition as it would be one touch access to certain files I use often but as it stands, this isn’t working at the moment so it would be great to get this working properly.",5,False,Great app...,PU6HY,
5,2020-09-10 08:04:51,"Good in parts! I’m a subscriber to Microsoft 365 but I’m beginning to wonder if, as a retired home user, it’s worth it. I haven’t had issues around synchronising between devices (I have a Windows 10 laptop, an iPhone and an iPad) and nothing has ever been lost. In addition I get constantly updated Office, although, now retired, I don’t use it much and the free Apple alternatives would be quite sufficient for my needs. Also my wife and daughters can have the same benefits at no extra cost. But I’m not sure if they use it! 
What I really miss since recent updates is a decent search facility. Tag search in photos was never great but it’s disappeared entirely! I’m glad all my photos upload to Google Photos as well; Google’s photo search is superb. Searching files is a shadow of its former self. Search within a folder no longer works. It searches everywhere, whichever option you go for but still doesn’t locate many files, certainly not for a term within files which it did once upon a time.",3,False,A Curate’s Egg,Haworthman,
6,2019-05-30 11:55:14,"The one drive app is so useful. I use this for my assignments in college, and after nearly a years use, I can say I couldn’t rely on anything better to keep my work safe, secure, and in a better place. I have also been able to download the app on my phone so when I’m on the train I am able to put my data on and carry on with my work. I’m impressed and one happy individual!  
Me and my sister were sat last night at her table and she expressed she is not able to get onto her Microsoft word. I told her not to worry, I explained about one drive and how she can use word on there and save her documents; now she is also one happy and impressed individual. I would definitely recommend one drive again to anyone as it is a very useful tool. 

Thank you One Drive!!☺️",5,False,Outstanding!,BethLove17,
7,2023-03-05 06:37:32,"Overall this is a good app never had any real issues with it.
However it is constantly asking me to set up my personal vault, I do this every couple of days, highly annoying when your wanting to save something and you can’t because it is asking you to do something that you have done many many times previously, and you have to start again, once you’ve set it up, again!!!!!!
Personal vault also locks after a time even though you are still actively busy in it, why?  If your busy in this location then it should not be locking. It should only lock when your not busy in it.  If it does this when your busy creating or uploading to it then you have to start again.
Never have these issues with other cloud based drives even though they have similar features.",4,False,Good App but also in part annoying,AdLondon100,
8,2021-05-06 09:53:06,"I’ve been searching for a replacement for Google Photos for some time and I’ve tried pretty much everything. My search came to an end though when I tried OneDrive. The way that OneDrive handles photos is excellent. The full bleed, grid layout is really nice to work with and scrolling through years of photos is buttery smooth. Being able to zoom in and out in the photos tab is really nice. 

For those looking for more storage space, make sure you run a search for discounts before you pay the full amount. There are loads of ways to save money out there. I used a 50% discount via the Microsoft Home Use Programme that my work has signed up to.",5,False,Excellent photo support,Matt Morelli,
9,2018-01-14 22:01:01,"There are many things I dislike about Microsoft office in general and its limitations on iOS:

1) The apps themselves may be free, but the subscription isn’t.
One of my main reasons why I only use office for work is how there is a yearly subscription that has to be paid. Luckily I am not the one needs to worry about paying this, however I am appalled at how normal home users need to pay a subscription and cannot buy the software outright. There are many other apps which can do everything that this range of products can do (and more) which are free or paid for in one purchase (iWork and G Suite for example).

2) Ties you into the office ecosystem through a horrible file system.
When saving a file (like a word document for example) the app defaults to either using your OneDrive (Microsoft’s cheap-expensive version of iCloud) or a terrible iPad file UI. (The app does offer alternative cloud storage solutions but suspiciously DOES NOT include iCloud in this extensive list)

3) The lack of support for iOS features.
Office does a fantastic job of not keeping up to date with the operating systems. The apps feel like they were made for iOS 8 because of their clunky interface and lack of other features like support for iCloud or drag and drop, the latter of which was introduced in iOS 11.",3,False,Avoid office whenever possible,CWainwright26,
